ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0xaf26,CUS_0x3336,January,Timothy Gardnerq,47,190-33-8702,Manager,29648.76,,0,2,10,0,,6,,4.85,3.0,Good,1104.99,36.49416662709631,20 Years and 9 Months,NM,0.0,177.22611427949374,High_spent_Small_value_payments,356.8468857205063,Good
0x18143,CUS_0x7d6c,June,Eileenc,-500,#F%$D@*&8,Scientist,82405.98,7093.165,5,5,12,2,"Mortgage Loan, and Credit-Builder Loan",32,13,1.25,4.0,_,218.44,36.53568106494485,27 Years and 10 Months,No,72.63396894042505,417.7443463077433,Low_spent_Small_value_payments,508.93818475183167,Standard
0x15cfd,CUS_0x6d05,August,Katee,46,429-09-6890,Mechanic,84833.62,,5,1,8,4,"Auto Loan, Payday Loan, Payday Loan, and Home Equity Loan",4,-2,2.05,2.0,Good,557.38,24.38144175818657,20 Years and 9 Months,No,274.9442043933726,481.9442479676693,Low_spent_Large_value_payments,200.6583809722914,Good
0xcdc9,CUS_0x63d8,August,Scott Malonea,19,393-92-0996,Manager,11436.15,933.0125,4,7,14,4,"Mortgage Loan, Payday Loan, Not Specified, and Mortgage Loan",11,10,17.33,8.0,Standard,339.47,33.71320767962812,19 Years and 5 Months,Yes,23.059579305968043,17.250920513902052,High_spent_Small_value_payments,312.9907501801299,Standard
0x1d447,CUS_0x29b1,June,Emmottd,38,329-69-3115,Musician,12821.555,932.4629166666666,1506,7,16,4,"Debt Consolidation Loan, Credit-Builder Loan, Payday Loan, and Auto Loan",27,19,9.71,10.0,_,1295.41,32.454131477274345,16 Years and 10 Months,Yes,22.64408433216831,22.457963367858078,High_spent_Medium_value_payments,298.14424396664026,Standard
0x116ac,CUS_0x7aa8,July,Yues,28,990-79-6246,Media_Manager,14383.03,1109.5858333333333,8,10,29,5,"Student Loan, Payday Loan, Debt Consolidation Loan, Student Loan, and Credit-Builder Loan",46,22,8.03,7.0,Bad,2350.45,41.068949187370094,11 Years and 11 Months,Yes,80740.0,138.19230729229338,Low_spent_Small_value_payments,211.4017999738839,Poor
0x1119a,CUS_0x23b0,May,Kevinl,39,040-53-8435,Scientist,73905.76,6241.813333333333,2,4,10,0,,10,,7.01,4.0,Good,1344.31,26.947461501926234,26 Years and 11 Months,No,0.0,79.42129056736195,High_spent_Large_value_payments,784.7600427659712,Good
0xef53,CUS_0x48e5,February,Foo Yuny,46,195-08-6361,Accountant,107068.92,8657.41,3,3,5,3_,"Student Loan, Mortgage Loan, and Home Equity Loan",7,,11.69,4.0,Standard,122.31,39.48757481311424,NA,Yes,211.87092824406525,508.7731157651073,Low_spent_Medium_value_payments,425.0969559908273,Standard
0x8f28,CUS_0x7d64,July,Bilbyu,36,423-88-6945,_______,41772.18,3365.015,4,4,13,4,"Payday Loan, Auto Loan, Student Loan, and Debt Consolidation Loan",13,18,13.5,9.0,Standard,1383.84,28.817495375904716,19 Years and 3 Months,Yes,119.08805481173222,153.55342657202462,Low_spent_Medium_value_payments,343.8600186162432,Standard
0x630b,CUS_0x8c7b,June,Jessica Toonkelt,31,862-65-2779,Writer,55197.81,4708.8175,6,4,23,2,"Credit-Builder Loan, and Not Specified",20,20,8.17,7.0,_,1931.66,39.911644875348564,7 Years and 10 Months,Yes,78.74861888701788,104.07015853363815,High_spent_Large_value_payments,528.062972579344,Poor
0x266a,CUS_0xf43,January,Michelef,37,131-37-1161,Media_Manager,82998.24,7186.52,8,7,22,6,"Student Loan, Home Equity Loan, Personal Loan, Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",26,22,22.0,12.0,_,4879.41,32.665123094166816,12 Years and 8 Months,Yes,383.91401414769933,411.4274636655325,Low_spent_Medium_value_payments,203.3105221867681,Poor
0xf142,CUS_0x36f3,May,Michael Ermany,39,782-09-3485,Architect,57786.48,,3,6,20,-100,"Student Loan, and Student Loan",20,,_,8.0,_,197.09,36.322936219559864,15 Years and 6 Months,Yes,81.78005165301785,85.37999531810303,High_spent_Small_value_payments,549.7939530288791,Standard
0x425c,CUS_0x530e,March,Rothackern,53,321-09-8273,Developer,25506.53,2316.5441666666666,3,6,10,2,"Auto Loan, and Personal Loan",29,16,5.54,1.0,Standard,43.06,36.1642296206532,20 Years and 0 Months,No,38.93321794788769,20.055316804478842,High_spent_Large_value_payments,412.66588191430014,Standard
0x1a821,CUS_0x3757,August,Kazunori Takadax,42,610-13-4952,Mechanic,32176.68,2399.39,9,8,27,-100,"Debt Consolidation Loan, Student Loan, Mortgage Loan, and Personal Loan",62,20,10.06,16.0,Standard,2464.3,39.52246298431857,NA,Yes,59.07279097095978,63.10485614815471,Low_spent_Large_value_payments,387.76135288088545,Poor
0x51c8,CUS_0xc075,March,Barrg,17,#F%$D@*&8,Teacher,17145.07,1509.7558333333334,7,8,15,5,"Credit-Builder Loan, Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, and Home Equity Loan",60,15,16.21,11.0,Bad,4316.78,33.059133071268214,7 Years and 4 Months,NM,62.20950973222805,106.05795924331223,Low_spent_Small_value_payments,272.7081143577931,Poor
0x1886c,CUS_0x513a,March,,36,020-26-0390,Lawyer,137048.56,11539.713333333333,3,3,19,4,"Student Loan, Payday Loan, Credit-Builder Loan, and Student Loan",30,9,8.54,4.0,Standard,439.34,37.06788567746676,25 Years and 7 Months,No,300.95171635059467,243.83234583621964,High_spent_Large_value_payments,849.1872711465188,Standard
0xdd78,CUS_0xa0cd,March,Jasonb,50,870-09-1756,Mechanic,21209.33,1749.444166666667,7,7,8,1,Credit-Builder Loan,30,15,18.7,4.0,Standard,138.94,33.44322781634661,24 Years and 4 Months,NM,17.303508891205805,148.3331643772529,Low_spent_Medium_value_payments,289.307743398208,Standard
0x1153e,CUS_0x6a52,January,Shenz,54,073-61-1093,Musician,21700.68,1904.39,5,7,10,0,,25,14,9.73,0.0,Good,427.94,37.332682866336604,NA,No,0.0,169.52630462628946,Low_spent_Medium_value_payments,300.91269537371056,Good
0x3585,CUS_0x5c28,April,,29,770-33-0635,Doctor,105565.65,8643.1375,1,3,11,1,Not Specified,18,7,7.2,6.0,Good,440.91,38.709656291782096,27 Years and 5 Months,No,49.60886878863772,116.73448485717049,High_spent_Large_value_payments,937.9703963541917,Standard
0xd7e4,CUS_0xcf5,March,Charlie Dunmoreo,39,766-36-8676,Entrepreneur,124900.86000000002,10124.405,0,6,12,4,"Home Equity Loan, Credit-Builder Loan, Auto Loan, and Home Equity Loan",9,0,-5.3,3.0,Good,562.56,30.49737856500139,25 Years and 9 Months,No,324.5956102787268,536.5501193846651,High_spent_Small_value_payments,411.2947703366083,Good
0x4452,CUS_0xf6c,January,Huffstutterl,54,128-03-0204,Writer,76046.25,6082.1875,7,3,16,3,"Credit-Builder Loan, Payday Loan, and Credit-Builder Loan",17,22,3.29,4.0,_,91.84,27.82091441847361,30 Years and 1 Months,Yes,172.98551542126657,553.1127850464379,Low_spent_Large_value_payments,152.12044953229554,Standard
0x8eae,CUS_0x123d,May,James Reganl,31,736-67-4134,Architect,7703.635,651.9695833333334,1110,8,18,6,"Auto Loan, Home Equity Loan, Student Loan, Home Equity Loan, Home Equity Loan, and Student Loan",55,14,16.05,15.0,_,3044.94,35.85907296014461,NA,Yes,32.08109830785891,47.96790063932398,Low_spent_Small_value_payments,275.14795938615043,Poor
0x58aa,CUS_0x382d,January,Jink,41,676-15-4455,Media_Manager,70014.48,,6,3,18,4,"Not Specified, Auto Loan, Auto Loan, and Not Specified",7,12,16.25,4.0,Standard,876.04,37.025731443207505,23 Years and 11 Months,Yes,205.5930674477824,251.67123963225728,Low_spent_Small_value_payments,444.1896929199604,Standard
0x1a3cf,CUS_0x9e24,June,Sveas,44,837-84-2006,Developer,9555.665,,3,5,14,2,"Mortgage Loan, and Not Specified",7,10,1.18,2.0,Standard,1383.88,32.743693941789545,16 Years and 8 Months,Yes,8.036609620229202,50.16986356759717,!@9#%8,297.5240684788403,Standard
0x13932,CUS_0x9a93,January,John Ruwitcha,54,803-10-0905,Journalist,30412.85,,3,4,14,0,,11,8,2.81,1.0,Standard,1220.51,30.510075630198532,NA,No,0.0,138.7485011653369,High_spent_Small_value_payments,399.3919155013298,Standard
0x5a0b,CUS_0x5360,June,,17,025-22-7299,Teacher,17461.98,1642.165,6,5,21,2_,"Personal Loan, and Credit-Builder Loan",59,19,7.77,11.0,_,1405.7,33.58143215236842,18 Years and 9 Months,Yes,28.09484906355243,30.47899781789512,High_spent_Large_value_payments,345.64265311855246,Poor
0x203a1,CUS_0x1def,August,Foov,28,922-25-6106,Accountant,14411.9,1302.836033432693,6,8,24,7,"Mortgage Loan, Not Specified, Not Specified, Debt Consolidation Loan, Personal Loan, Mortgage Loan, and Mortgage Loan",20,18,25.8,7.0,Bad,3640.4,39.07075713028121,9 Years and 10 Months,Yes,99.81830898854237,139.31553060803094,Low_spent_Small_value_payments,212.12096030406693,Standard
0x14c1a,CUS_0xc47b,May,Lynn Adlerj,21,560-39-0261,Manager,15837.31,1019.7758333333335,8,6,16,8,"Payday Loan, Debt Consolidation Loan, Personal Loan, Payday Loan, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, and Not Specified",58,21,18.88,12.0,Bad,3336.83,33.906020808090055,0 Years and 9 Months,Yes,63.5875877889013,92.19155351474105,Low_spent_Large_value_payments,216.19844202969105,Poor
0xf6eb,CUS_0x5c75,February,Lynchh,33,045-05-9944,Doctor,61869.04,5098.753333333333,3,5,16,1_,Debt Consolidation Loan,21,11,7.57,3.0,_,1065.89,39.86439269069583,32 Years and 6 Months,No,50.851835160543956,251.17815077204992,Low_spent_Medium_value_payments,487.84534740073946,Standard
0x1cb36,CUS_0x777b,January,Tetsushi Kajimotov,27,121-84-4174,Lawyer,90661.35,7346.1125,8,3,11,2,"Credit-Builder Loan, and Debt Consolidation Loan",25,9,14.76,6.0,Standard,1375.13,29.457204244733376,15 Years and 8 Months,Yes,113.12629803961146,212.55640779140137,Low_spent_Large_value_payments,678.9285441689873,Standard
0x1058c,CUS_0x1108,March,en Klaymano,25,183-66-5001,Accountant,117499.47,9780.6225,4,5,8,0,,11,5,8.32,4.0,Good,337.9,35.49969208607427,30 Years and 3 Months,No,0.0,371.23926721280577,High_spent_Medium_value_payments,856.8229827871942,Standard
0x84d2,CUS_0x5313,January,Gavin Jonesq,20,378-22-0903,Entrepreneur,9584.875_,643.7395833333334,5,5,12,6,"Student Loan, Debt Consolidation Loan, Mortgage Loan, Credit-Builder Loan, Home Equity Loan, and Student Loan",8,20,12.65,6.0,Standard,1414.03,25.438046514777398,14 Years and 1 Months,Yes,24.708538812370893,29.009599818742476,Low_spent_Medium_value_payments,290.65581970222,Standard
0x1cc28,CUS_0x279f,March,Aditya Suharmokoa,44,231-40-8875,Accountant,88968.9,7176.075,4,3,15,4,"Student Loan, Not Specified, Mortgage Loan, and Auto Loan",21,14,23.93,8.0,Standard,375.83,35.70590330121011,19 Years and 3 Months,Yes,290.5684101708821,574.3201045058852,Low_spent_Small_value_payments,142.7189853232327,Standard
0x2dd3,CUS_0x69ff,February,Emelial,43,020-79-5434,Writer,32178.74,2470.561666666667,10,6,21,6,"Auto Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Personal Loan, and Student Loan",40,8,14.15,8.0,Standard,2165.47,33.52948605714102,11 Years and 11 Months,Yes,99.44574466527511,193.57132930078373,Low_spent_Large_value_payments,224.03909270060782,Standard
0x57fb,CUS_0x7afc,June,,40,639-06-8225,Lawyer,35417.27,2789.439166666666,0,3,3,2,"Personal Loan, and Auto Loan",5,5,7.8,3.0,Good,364.57,33.114031153495354,26 Years and 4 Months,No,39.7703646344823,262.77949121481856,Low_spent_Small_value_payments,266.3940608173658,Good
0x1e6e4,CUS_0xadf5,July,Laurencep,37,587-48-4616,Mechanic,29473.28,2163.1066666666666,3,3,10,6,"Personal Loan, Home Equity Loan, Credit-Builder Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",7,8,13.93,11.0,_,1163.33,30.12855730036119,20 Years and 4 Months,Yes,114.78519077233857,150.55657742255354,Low_spent_Large_value_payments,220.9688984717746,Standard
0x13e48,CUS_0x245d,July,Dhanyag,27,251-17-0514,Scientist,22147.105,1938.5920833333328,0,4,4,1,Student Loan,4,4,10.09,7.0,Good,947.58,32.627601613282316,20 Years and 5 Months,No,9.829845999398689,59.66967757321187,!@9#%8,374.3596847607228,Standard
0x175ae,CUS_0x57c2,May,ewich Noelx,5327,045-47-7252,Journalist,30789.41,2707.784166666667,5,4,4,0,,10,5,5.0,0.0,Good,529.7,26.764434346259108,31 Years and 9 Months,No,0.0,251.0713033361901,Low_spent_Medium_value_payments,299.7071133304766,Good
0x7855,CUS_0x8ae5,August,,37_,396-24-8172,Entrepreneur,34884.34,2633.028333333333,8,4,30,4,"Student Loan, Student Loan, Mortgage Loan, and Payday Loan",10,14,7.52,10.0,Standard,2162.63,37.849878992502425,NA,Yes,67.03698428964698,82.44032755928549,High_spent_Medium_value_payments,363.82552148440084,Standard
0x819d,CUS_0x691f,August,Tom Milesc,15,633-68-4376,Musician,16791.76,1648.313333333333,8,10,33,3,"Student Loan, Student Loan, and Personal Loan",49,13,16.13,9.0,Standard,2463.9,28.17361470376682,16 Years and 8 Months,Yes,31.811389102419557,,High_spent_Large_value_payments,358.2173980709079,Standard
0x1dee,CUS_0x1e63,January,Aileen Wangy,36,341-75-1132,Musician,10025.2,1089.4333333333334,10,10,21,7,"Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, Personal Loan, Auto Loan, and Credit-Builder Loan",23,14,16.88,12.0,Standard,1409.58,36.61446866267692,15 Years and 3 Months,Yes,41.43157633631988,141.3578696513393,Low_spent_Small_value_payments,216.15388734567412,Poor
0x122dc,CUS_0x962b,July,Frankelz,22_,956-84-8881,Mechanic,143802.44,,6,6,6,6,"Personal Loan, Home Equity Loan, Student Loan, Student Loan, Personal Loan, and Student Loan",28,16,14.29,7.0,Standard,1108.01,27.26341359588418,NA,Yes,553.551878537163,357.06150474901614,High_spent_Medium_value_payments,527.3402833804877,Standard
0x1fec6,CUS_0x2306,January,George Georgiopoulosh,53,260-24-2546,Teacher,73455.03,6367.2525,8,4,7,2,"Credit-Builder Loan, and Not Specified",10,8,1.83,2.0,_,833.37,28.47001570706,29 Years and 5 Months,No,86.49480091004787,223.36852747680192,High_spent_Medium_value_payments,576.8619216131502,Standard
0x1f3ce,CUS_0x6a11,January,dee,35,064-35-8820,Media_Manager,33352.41,2812.3675000000007,6,4,10,2,"Auto Loan, and Auto Loan",13,20,11.68,4.0,Standard,1422.2,31.388554721853414,18 Years and 3 Months,NM,34.54105452810957,54.35552520856392,!@9#%8,442.34017026332657,Standard
0x64f5,CUS_0x4ff7,April,Chatterjeem,14,366-35-7290,Manager,16873.05,,6,8,21,7,"Mortgage Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, and Payday Loan",36,23,2.67,11.0,Bad,3600.43,27.46853268408834,6 Years and 5 Months,Yes,94.87730915039499,64.98190968737025,!@9#%8,266.0495311622348,Poor
0x1dce7,CUS_0x748e,June,Maloner,26,418-53-1393,Doctor,10120.28,645.3566666666667,6,5,33,5,"Debt Consolidation Loan, Home Equity Loan, Auto Loan, Payday Loan, and Credit-Builder Loan",20,16,9.97,12.0,Bad,1616.5,36.076986284537,16 Years and 4 Months,Yes,21.903855500746346,43.54639811331192,Low_spent_Small_value_payments,289.0854130526084,Poor
0x79f6,CUS_0xac3b,May,Kubotax,20,024-80-3350,Mechanic,35249.28,2667.44,1,5,2,4,"Auto Loan, Personal Loan, Debt Consolidation Loan, and Auto Loan",4,7,2.55,2.0,Good,1033.32,38.12271564243568,27 Years and 2 Months,No,114.31314614871864,200.656700675772,Low_spent_Large_value_payments,221.77415317550944,Standard
0x8684,CUS_0x2ddd,March,Ian Chuau,22,297-78-3372,Manager,38443.42,2918.6183333333333,9,8,27,3,"Not Specified, Payday Loan, and Mortgage Loan",46,13,9.78,11.0,Standard,1703.99,29.85649932361077,NA,Yes,64.49968213475104,352.0366883948638,Low_spent_Small_value_payments,165.3254628037185,Poor
0xc02f,CUS_0x57ca,June,,32,089-30-5268,Journalist,101628.12,8730.01,3,7,14,0,,14,9,13.25,11.0,Standard,248.77,27.53986670842368,13 Years and 1 Months,Yes,0.0,212.01759123941224,High_spent_Medium_value_payments,910.9834087605877,Poor
0xe2ad,CUS_0x4037,April,,33,022-20-2822,Engineer,92509.38,7876.115000000002,7,4,12,0,,21,11,9.92,2.0,Good,1167.56,30.070520455779445,17 Years and 8 Months,No,0.0,85.93231463963284,High_spent_Large_value_payments,941.6791853603672,Poor
0x1842b,CUS_0x5fc3,June,Emmao,26,680-89-3665,Journalist,21884.0,1749.666666666667,8,6,13,4,"Mortgage Loan, Debt Consolidation Loan, Personal Loan, and Debt Consolidation Loan",21,15,7.39,685.0,Standard,423.78,22.61589499090137,33 Years and 1 Months,Yes,54.75375840781272,151.0750705156526,Low_spent_Large_value_payments,239.1378377432013,Standard
0x1b6bb,CUS_0x57c5,February,Nairp,27,929-59-4297,Engineer,17296.94,,6,7,10,3,"Payday Loan, Home Equity Loan, and Auto Loan",28,18,13.58,8.0,Standard,1855.69,37.052641583559584,12 Years and 6 Months,NM,23.138389564963315,94.6890511907424,Low_spent_Large_value_payments,277.61372591096097,Standard
0x10501,CUS_0x6582,August,Viktoria Dendrinoug,30,708-36-1676,Manager,75299.36,6367.946666666668,3,3,9,0,,22,3,1.16,6.0,Good,1041.4,38.854724375090385,NA,No,0.0,112.93387170767478,High_spent_Medium_value_payments,773.8607949589917,Poor
0x22e2e,CUS_0x6896,May,Chestneye,14,975-47-9681,Media_Manager,31896.7,2832.058333333333,7,7,9,2,"Home Equity Loan, and Payday Loan",24,20,17.95,10.0,Standard,1941.65,32.25603912359616,19 Years and 5 Months,Yes,36.331741719616225,43.67375037609496,High_spent_Medium_value_payments,453.20034123762224,Poor
0x21b30,CUS_0x15ad,March,Peterl,26,357-70-0085,Mechanic,82316.18_,6625.681666666666,0,5,4,3,"Not Specified, Debt Consolidation Loan, and Payday Loan",22,12,11.0,,Good,42.98,26.196519989188037,NA,No,133.89375865962722,343.96635528971984,Low_spent_Large_value_payments,454.7080527173196,Poor
